file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9195210441668022;0.8891346431875663;0.9520578620414406;-1;-1;token based replay
sample 0.8;0.9196768070199703;0.8894234343811656;0.9520607626406035;-1;-1;token based replay
sample 0.7;0.920983718481419;0.8911049916580495;0.952935624800207;-1;-1;token based replay
sample 0.6;0.9188187343085651;0.8839620023870469;0.9565372827857206;-1;-1;token based replay
sample 0.5;0.9147359407192031;0.8669738823748563;0.968067289326147;-1;-1;token based replay
sample 0.4;0.7016332999927911;0.8763511034919527;0.5850017183512602;-1;-1;token based replay
sample 0.3;0.9221918817192356;0.8796180563183188;0.96909649524895;-1;-1;token based replay
sample 0.2;0.7707918831197712;0.8880427193259954;0.6808917814634776;-1;-1;token based replay
sample 0.1;0.8796659299675698;0.8276933205205395;0.938602778203572;-1;-1;token based replay
sample 0.05;0.911930132913634;0.8818357722827292;0.9441511261806733;-1;-1;token based replay
sample 0.01;0.7448600128019255;0.8919817066377438;0.63939883665329;-1;-1;token based replay
sample 0.005;0.9239010313988588;0.8755534461427479;0.9779001457618633;-1;-1;token based replay
sample 0.001;0.93419416658818;0.9128941617233843;0.9565118771069449;-1;-1;token based replay
