file;f1;fitness;precision;generalisation;simplicity;method
base log;0.9227440067498451;0.8939645941891904;0.9534380489295079;0.7678385190689969;0.5632183908045977;TBR
0.8;0.9225295400176415;0.8941992542604191;0.9527136977122619;0.7470355979082293;0.5632183908045977;TBR
0.7;0.9218083831763353;0.8918727829982429;0.95382334638896;0.7440602057710491;0.5632183908045977;TBR
0.6;0.9207550754123738;0.8934187916838657;0.9498169970592591;0.7269127373285538;0.5632183908045977;TBR
0.5;0.9208905664035061;0.8933240772203186;0.95021253849874;0.6973515552749794;0.5632183908045977;TBR
0.4;0.9195807519261225;0.8944669220660066;0.9461455559781919;0.6841953874392788;0.5632183908045977;TBR
0.3;0.9164741758437811;0.8887344098570192;0.9460013968919155;0.6491625038580567;0.5632183908045977;TBR
0.2;0.9159666835902474;0.8946397080171667;0.9383353017964816;0.6096845302992832;0.5632183908045977;TBR
0.1;0.7747594717223144;0.8955361215222004;0.6826885502149277;0.5355875477252428;0.5632183908045977;TBR
0.05;0.7397009326681322;0.8915782870674713;0.6320357706470279;0.4247748845550072;0.5632183908045977;TBR
0.01;0.7298081426824442;0.8989592411174885;0.6142322097378277;0.2820323184468466;0.5632183908045977;TBR
0.005;0.7148161943581809;0.8964930574611711;0.5943661971830986;0.1669479550739087;0.5632183908045977;TBR
0.001;0.5104314360947944;0.9459459459459459;0.3495145631067961;0.04390151557647615;0.5632183908045977;TBR
