file;f1;fitness;precision;generalisation;simplicity;method
base log;0.26584033633261217;0.9254856142975671;0.1552120447445755;0.7405986507087647;0.640625;TBR
0.8;0.2657119556416822;0.9252274415483016;0.15513178109081205;0.7343760585211065;0.640625;TBR
0.7;0.2657572580985553;0.9252970367872868;0.1551607086748853;0.7246902790093355;0.640625;TBR
0.6;0.2657610524785214;0.9252120288393717;0.1551656861700207;0.7039983431864278;0.640625;TBR
0.5;0.26592701580102707;0.9256652274782193;0.1552660890562958;0.6885411511447412;0.640625;TBR
0.4;0.2659448869112047;0.9255159104771626;0.1552824762226409;0.6895702196539881;0.640625;TBR
0.3;0.26602051572372715;0.9252506579028621;0.15534152081634545;0.6670401966983148;0.640625;TBR
0.2;0.2656947268847091;0.9257420724871206;0.1551055797884402;0.6504439216271997;0.640625;TBR
0.1;0.26426917684406676;0.9206293448769485;0.1542774743632901;0.6290326293262061;0.640625;TBR
0.05;0.2608280491264385;0.9082298395714681;0.15228014951800117;0.6184494937007169;0.640625;TBR
0.01;0.25688337815965956;0.8731147402212629;0.1505953946132752;0.4931521447593141;0.640625;TBR
0.005;0.2564292596276815;0.8646617111650485;0.1505366563580135;0.4020488218843874;0.640625;TBR
0.001;0.1849593495934959;0.8053097345132744;0.10447761194029848;0.10192146200025465;0.640625;TBR
