file;f1;fitness;precision;generalisation;simplicity;method
base log;0.28821708118435857;0.9610888959210602;0.16952808873204583;0.8646349901605519;0.6497175141242938;TBR
0.8;0.2884089602353918;0.9614959200814581;0.16964819709451506;0.8575644138524902;0.6497175141242938;TBR
0.7;0.2879731524911241;0.9609255311643836;0.1693644016192819;0.852285759569671;0.6497175141242938;TBR
0.6;0.2883208031937383;0.96143174080738;0.16958919175687448;0.8422460418147718;0.6497175141242938;TBR
0.5;0.28847671632521144;0.9613972602834748;0.16969816030322638;0.833515571548153;0.6497175141242938;TBR
0.4;0.28814385237194046;0.9607379086864285;0.16948833921125994;0.8216884726506697;0.6497175141242938;TBR
0.3;0.2882042194888279;0.9608984984346406;0.16952511395980907;0.8020684184695951;0.6497175141242938;TBR
0.2;0.28788367544286647;0.9602814234480572;0.16932251631266093;0.7918626673284506;0.6497175141242938;TBR
0.1;0.2878920386215156;0.9615185026284323;0.1692898963347622;0.7408554644295392;0.6497175141242938;TBR
0.05;0.28769594689586425;0.9623502964519897;0.169128585223269;0.6736198778692232;0.6497175141242938;TBR
0.01;0.28243065314486415;0.9571347114613519;0.16565618289756223;0.5314819374659362;0.6497175141242938;TBR
0.005;0.28257335797989425;0.9487861319817488;0.16600734670810968;0.4106821261905075;0.6497175141242938;TBR
0.001;0.28048622176681454;0.9498434004474272;0.16453674121405748;0.18837471846001563;0.6497175141242938;TBR
